agent,item,queries_tried,failure_reason,alt_sources_tried,best_estimate,best_estimate_basis
E,"U-03 Exact cumulative CBER RMAT designation totals: requests received, granted, denied, withdrawn, as of the most recent FDA data cutoff",WebSearch 'CBER RMAT designation cumulative number granted 2025 2026 breakthrough therapy designation counts CDER total requests granted' | WebFetch fda.gov/vaccines-blood-biologics/.../cumulative-cber-regenerative-medicine-advanced-therapy-rmat-designation-requests-received-fiscal | WebFetch cacmap.fda.gov mirror of the same path | WebSearch 'CBER 2025 biological approvals number gene therapy 2026 Office of Therapeutic Products staffing reorganization review backlog',"www.fda.gov returned HTTP 401 to the fetch tool for every path attempted in this environment, and the cacmap.fda.gov mirror returned HTTP 403. The search-summary layer returned internally inconsistent fiscal-year figures (a 'FY2025: 91 requests, 50 granted' reading that is inconsistent with the cumulative-by-fiscal-year structure of the FDA table), so no numeric value could be asserted without risking a fabricated figure.","(1) www.fda.gov cumulative RMAT table - HTTP 401; (2) cacmap.fda.gov mirror - HTTP 403; (3) AABB news item 'CBER Releases Updated RMAT Designation Requests, Approvals and Withdrawals' (21 Jul 2025) - located but the numeric content was not exposed in the search summary; (4) Pharmaceutical Technology 'How FDA's New RMAT Guidance Impacts Clinical, CMC Strategies' - narrative only; (5) FDA Expedited Programs for Regenerative Medicine Therapies guidance PDF (fda.gov/media/120267) - policy text, no counts","Cumulative RMAT requests received since 13 Dec 2016 are most likely in the range 350-450 with roughly 130-190 granted, i.e. a grant rate in the 35-45% band.","The FDA table is cumulative-by-fiscal-year and the two readings recovered (FY2024 ~59 and FY2025 ~91 on one axis, with 43 and 50 granted) are consistent with an annual request flow in the 40-90 range across nine fiscal years and a grant rate below half, which the search layer stated explicitly. The report therefore asserts only the qualitative facts (programme start date, publication of granted/withdrawn/approved lists, grant rate under half) in E-4036 and asserts no numeric total. This estimate is not used in any calculation."
E,"U-04 NMPA/CDE and MFDS reviewer headcounts, for like-for-like comparison with CDER+CBER 6,383, EMA ~897 and PMDA ~873",WebSearch 'EMA 2025 annual report number of staff CHMP positive opinions new active substances 2025 PMDA number of reviewers staff 2025' | WebSearch 'EMA number of staff 2025 annual report establishment plan employees budget scientific committees workload applications received' | WebSearch 'NMPA 2025 innovative drug approvals number 40 class 1 China CDE review timeline priority review 2026' | WebSearch 'NMPA breakthrough therapy designation number granted 2025 China priority review MFDS GIFT global innovative products fast track Korea number designated' | TOP-UP PASS: WebSearch 'China CDE staffing number reviewers 2024 NMPA ICH guideline implementation percentage adopted' | WebSearch 'MFDS Korea drug review timeline days new drug approval 2025 number approved reviewer staffing GIFT designation 2025 artificial intelligence guideline MFDS' | WebSearch 'MFDS 2025 number of new drugs approved Korea annual statistics',Neither CDE nor MFDS publishes a reviewer headcount in any English-language source returned. EMA and PMDA figures were recoverable; CN and KR were not.,"(1) english.nmpa.gov.cn - organisational pages not surfaced by the search index; (2) mfds.go.kr English GIFT page (fetched successfully) - describes the programme and its statistics but contains no staffing data; (3) EMA annual activity report 2025 PDF - EMA only; (4) Wikipedia PMDA/EMA entries - JP and EU only; (5) DIA Global Forum March 2026 NMPA article - approvals only; TOP-UP: (6) ISPE ICH-alignment review - states NMPA 'is recruiting more reviewers' without a number; (7) Korea Biomedical Review 'MFDS targets world's fastest drug and device approval system' - reform measures and day targets, no headcount; (8) intoinworld MFDS approval-reform analysis - no headcount","CDE headcount most plausibly 1,000-1,600 and MFDS drug-review staff in the low hundreds. Partial resolution achieved: CDE's WORKLOAD is now quantified even though its headcount is not - 15,318 applications accepted for technical evaluation in 2024 including 3,073 INDs and 549 NDAs [E-4069].","CDE processed 289 approved new drug applications in 2025 [E-4042]; PMDA achieves ~873 staff with ~560 technical reviewers against a much smaller approval volume [E-4027], so a CDE figure below PMDA's would be implausible given China's throughput, while a figure approaching CDER's 5,044 would almost certainly have been reported. This estimate appears only as a gap marker in the region table and supports no conclusion. TOP-UP: the workload denominator that the headcount was wanted for has been obtained directly [E-4069][E-4070], so the missing headcount no longer blocks the region comparison - the CN rows in the landscape CSV now carry intake volumes rather than staffing as the capacity measure. NMPA has publicly acknowledged reviewer capacity as a bottleneck and is recruiting [E-4072], which is consistent with a headcount materially below CDER's."
E,U-05 MFDS novel new-drug approval count for CY2025 on a basis comparable to FDA novel approvals and EMA new active substances (PMDA half of this item is now RESOLVED),WebSearch 'EMA 2025 annual report number of staff CHMP positive opinions new active substances 2025 PMDA number of reviewers staff 2025' | WebSearch 'PMDA Sakigake designation number granted products approved Japan conditional time-limited approval regenerative medicine number of products 2025' | WebSearch 'NMPA breakthrough therapy designation number granted 2025 China priority review MFDS GIFT global innovative products fast track Korea number designated' | WebFetch mfds.go.kr/eng/wpge/m_1176/de011009l001.do | TOP-UP PASS: WebSearch 'PMDA review time median days new drug approval 2024 2025 total approval time Sakigake 6 months priority review Japan drug loss unapproved drugs 86' | WebSearch 'MFDS 2025 number of new drugs approved Korea annual statistics' | WebFetch cirsci.org CIRS R&D Briefing 101 PDF (binary; text extracted locally with Python zlib),"RESOLVED for Japan: PMDA issued 148 approval decisions in FY2024-25 of which 66 were new active ingredients, and CIRS gives PMDA a 290-day 2024 median approval time [E-4075][E-4061]. STILL UNRESOLVED for Korea: MFDS publishes an annual Drug Approval Report but the 2025 edition was not retrievable in English, and the located Korean coverage reports monthly IND approvals rather than annual new-drug marketing authorisations.","(1) pmda.go.jp/english/review-services/reviews/0001.html - listed in results but no count exposed; (2) pmda.go.jp List of Approved Regenerative Medical Products Apr 2015 - Nov 2025 PDF - regenerative products only, not all novel approvals; (3) mfds.go.kr English GIFT page - fetched, no annual novel count; (4) Korea Biomedical Review article on 2024 innovative medical device designations - devices, not drugs; (5) PMDA Updates 2025 Autumn PDF - newsletter, no count; TOP-UP: (6) CIRS R&D Briefing 101 full PDF - text extracted successfully, covers FDA/EMA/PMDA/Health Canada/Swissmedic/TGA but NOT MFDS or NMPA; (7) mfds.go.kr English products board - listing page only; (8) intoinworld 'Analysis of MFDS Investigational Drug Approvals in August 2025' - monthly IND approvals (50), not annual marketing authorisations","MFDS most likely approved roughly 20-35 new drugs in CY2025. Japan is now measured, not estimated: 66 new active ingredients in FY2024-25.","Japan resolved directly from PMDA reporting and CIRS [E-4075][E-4061]. For Korea the estimate rests on GIFT alone having converted 34 of 56 designations to approval across roughly 17 months to Feb 2024 [E-4041] and on MFDS approving 50 INDs in a single month of 2025 [E-4084], which bounds the annual new-drug figure below EMA's 38 new active substances but well above zero. Used only as a gap marker in the region table."
E,"U-06 Count of PDUFA goal dates missed by FDA in CY2026, to test whether the FY2025 workforce reduction produced measurable slippage",WebSearch 'FDA missed PDUFA goal dates 2026 number late decisions review delays tracking analysis' | WebSearch 'FDA PDUFA goal date performance 2025 2026 missed goal dates percentage on-time novel approvals CDER count' | WebSearch 'CDER novel drug approvals 2025 total number 2026 year to date FDA missed PDUFA dates layoffs impact' | WebFetch insights.citeline.com Pink Sheet 'US FDA Feeling Layoff Impact? NDA/BLA First Half Approvals Down' | WebFetch michbio.org 'Reports Document FDA Review Delays' | TOP-UP PASS: WebSearch 'EMA centralised procedure 210 active review days clock stop total elapsed time median days to opinion 2025 performance accelerated assessment 150 days' (to obtain a peer-agency benchmark in place of the missing US 2026 figure),"FDA's own FDA-TRACK dashboard marks FY2025 and FY2026 data preliminary and updates quarterly, and www.fda.gov returned HTTP 401 to the fetch tool so the dashboard could not be read directly. The two trade analyses located either withheld the figures behind a paywall (Citeline) or contained only qualitative statements (MichBio, published Apr 2025 and therefore predating the period of interest).","(1) www.fda.gov FDA-TRACK PDUFA dashboards - HTTP 401; (2) Citeline Pink Sheet H1 2026 approvals article - fetched, headline confirms direction but the numeric table is not in the retrievable body; (3) MichBio 'Reports Document FDA Review Delays' - fetched, qualitative only, dated 24 Apr 2025; (4) Statista key measures of US CDER drug approvals - 2025 only; (5) BiopharmaWatch and Assyro PDUFA calendars - forward-looking target dates, not realised performance; (6) Osprey Life Sciences 'Measuring the Impact of FDA Personnel Cuts in 2025' - located but not a goal-date count; TOP-UP: (7) CIRS R&D Briefing 101 - gives 2024 medians for six agencies including FDA at 356 days but stops at 2024, so it does not cover CY2026; (8) EMA accelerated assessment and step-by-step evaluation pages - EU clock structure only","CY2026 on-time PDUFA performance is most likely in the 88-95% band, i.e. somewhat below the 96% recorded for 2025 but not a collapse.","The direction is supported by two independent signals: NDA/BLA approvals fell in H1 2026 relative to prior first halves [E-4028], and individual three-month extensions are documented (for example LEQEMBI IQLIK extended to 24 Aug 2026). Against that, CDER novel approvals recovered in H1 2026 and the CNPV pilot delivered actions in 24-79 days during the same period [E-4033], which is inconsistent with systemic slippage. The report treats CY2026 slippage as an open tail risk and draws no conclusion from this estimate. TOP-UP: a peer benchmark is now available in place of the missing figure - FDA's 2024 median approval time of 356 days was the second fastest of six major agencies and 74 days behind PMDA [E-4061], so even a moderate 2026 slippage would leave FDA within the peer band rather than an outlier."
F,U-1 | Measured effect of AI trial matching on accrual rate in a controlled comparison (assignment item 5),WebSearch: 'artificial intelligence clinical trial matching measured effect on accrual rate prospective controlled comparison screening efficiency oncology study'; WebSearch: 'AI in Oncology Clinical Research Accelerating Patient Matching'; WebFetch: https://pubmed.ncbi.nlm.nih.gov/41512229/ ; WebFetch: https://pmc.ncbi.nlm.nih.gov/articles/PMC13091143/ ; WebSearch: 'expert validation artificial intelligence enabled trial matching real-world data patients with cancer',"No published study located that compares accrual rate under AI matching against a concurrent non-AI control arm. Every accessible evaluation uses matching accuracy (F1, sensitivity, specificity) or screening time as the endpoint. The one deployment reporting actual enrolments (E-5047) is a single-institution observational rollout with no concurrent manual-screening comparator, so its 117 enrolments cannot be attributed to the AI. PubMed returned a cookie-consent wall on direct fetch; the PMC full text of the prospective 3,804-patient study explicitly states enrolment was not an endpoint.","(1) PubMed record 41512229 for the CTPM system - blocked by cookie wall, recovered via search snippet only. (2) PMC13091143 full text (ESMO Real World Data and Digital Oncology, prospective n=3804) - retrieved in full; reports no downstream enrolment counts. (3) ASCO abstract 10.1200/JCO.2026.44.16_suppl.1501 'Expert validation of an AI-enabled trial matching solution' - validation-against-expert design, no accrual endpoint. (4) Nature Reviews Clinical Oncology 's41571-026-01189-0' AI-based augmentation of oncology clinical trials - review, no controlled accrual data. (5) SYNERGY-AI registry NCT03452774 - registry design, no comparator.","No credible controlled accrual effect exists as of 2026-08-18. The honest current figure is 117 enrolments from 98,348 charts screened across 29 trials over ~3.5 years, a 0.12% chart-to-enrolment yield, alongside a 10-fold reduction in chart-review workload and a 41% reduction in per-chart screening time.","E-5047 (CTPM deployment, only source reporting enrolments), E-5048 (prospective n=3804, matching accuracy only), E-5067 (derived ratio). Mechanistic reasoning: AI reduces the marginal cost of identifying candidates; the observed yield stayed at 0.12% because the binding resource is open matching slots at qualified sites, not identified patients. A controlled study would therefore be expected to show a large screening-cost effect and a small accrual effect."
F,U-2 | TAPUR screening denominator and therefore its match rate (assignment item 4),WebSearch: 'TAPUR study ASCO enrollment match rate number of patients enrolled cohorts results 2024'; inspection of https://www.asco.org/research-data/tapur-study/study-results and https://society.asco.org/research-data/tapur-study/eligibility-enrollment result summaries,"ASCO publishes cumulative enrolment (~3,000 since 2016) and site count (260+) but does not publish, on any accessible page, the number of patients whose genomic reports were reviewed for a match. Without that denominator no match rate can be computed. TAPUR also differs structurally from NCI-MATCH: patients arrive with a commercial genomic report already in hand, so the screening funnel is partly external to the study and may not be countable even in principle.","(1) ASCO TAPUR study-results and eligibility-enrollment pages - enrolment only. (2) Targeted Oncology 'TAPUR Results Roll Out' coverage - cohort-level response data, no screening denominator. (3) AJMC coverage of the TAPUR immunotherapy expansion - no denominator. (4) PMC4570058 (ASCO/NCI precision medicine trial launch) - design paper predating accrual.","TAPUR match rate 30-60%, materially higher than NCI-MATCH's 17.8%.","Bracketed by three measured anchors: NCI-MATCH assigned 17.8% of centrally screened patients and 26.4% had all sub-protocols been open simultaneously (E-5028); Lung-MAP registered 37.6% of screened patients to a sub-study (E-5029). TAPUR sits above both because its patients self-select on already having a commercial genomic report and because its drugs are marketed agents with broad label coverage, removing two of the three attrition steps present in NCI-MATCH. The upper bound of 60% reflects that clinical exclusion criteria and cohort-closure still apply."
F,U-3 | Measured realised accrual change attributable to FDA/ASCO eligibility-broadening initiatives (assignment item 2),"WebSearch: 'ASCO FDA broadening eligibility criteria measured effect increase eligible population accrual modernizing eligibility criteria study percentage'; WebSearch: '""Broadening Eligibility Criteria and Diversity among Patients for Cancer Clinical Trials"" NEJM Evidence 2024 78% increase eligible'; WebFetch: https://evidence.nejm.org/doi/pdf/10.1056/EVIDoa2300236 (HTTP 403)","All located quantifications are simulated eligibility applied retrospectively to real-world cohorts, not observed accrual after implementation. The NEJM Evidence study computes how many more patients would have qualified; it does not follow trials that adopted broadened criteria and measure their accrual against matched trials that did not. The NEJM PDF returned HTTP 403; the numbers were recovered from the journal abstract page and the Flatiron publication summary.","(1) NEJM Evidence full-text and PDF - 403 Forbidden; abstract-level numbers recovered via search. (2) AACR Clinical Cancer Research ASCO-Friends joint research statement (27:9:2394) - recommendations, no post-implementation measurement. (3) Friends of Cancer Research eligibility-criteria programme pages - advocacy and recommendation content. (4) ASCO Connection interview with Dr Edward S. Kim and the 2019 ASCO 10,500-patient NSCLC analysis - modelled exclusion avoidance, conference abstract. (5) The ASCO Post coverage of the July 2026 FDA final guidances - policy news, no effect measurement.","Realised accrual improvement of 5-15% where the ASCO-Friends recommendations are fully adopted, i.e. a small fraction of the 78% modelled eligibility gain.","Three quantified constraints on conversion. (a) The 78% eligibility gain is simulated (E-5015) and the newly eligible have worse real-world survival, HR 1.31, so sponsors have a direct incentive not to adopt fully. (b) Over half of early-phase oncology screen failures are radiological or biological disease-state changes between consent and treatment (E-5013), which broadened criteria cannot address. (c) In the NCI trial cohort the measured association between criteria complexity and accrual failure is OR 1.09 per decile (E-5012), implying that moving a trial from the top to the bottom complexity decile changes accrual-failure odds by roughly a factor of 2 on a base of 19.3%, i.e. a recovery of order 10 percentage points of trials, not 78%."
F,U-4 | Full year-by-year CDER IND receipt series 2015-2025 in machine-readable form (assignment item 6),"WebSearch: 'FDA CDER commercial IND applications received per year statistics annual report 2015 2020 2024 number of INDs'; WebSearch: '""IND receipts"" CDER commercial 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 table number annual growth'; WebSearch: '""INDs with activity"" CDER commercial research total number active INDs 2015 2020 2025 growth'; WebFetch: https://www.fda.gov/drugs/ind-activity-reports/ind-receipts (HTTP 401); WebFetch: https://www.fda.gov/drugs/ind-activity/inds-activity (HTTP 401); WebFetch: https://www.fda.gov/media/191373/download (HTTP 401)","fda.gov returns HTTP 401 Unauthorized to the available fetch tooling on every path attempted, including the IND Receipts landing page, the INDs with Activity page, and the /media/{id}/download report endpoints. curl and wget are prohibited by environment rule E2, so no alternative retrieval path exists from this session. Two anchor years (2018 commercial 852 / research 742; 2024 commercial 1,139 / research 716) were recovered from search-result snippets that render the FDA table headers and rows directly, plus one secondary compilation. The INDs-with-activity series was recovered in full for 2020-2025.","(1) FDA IND Receipts landing page - 401. (2) FDA INDs with Activity page - 401. (3) FDA media download endpoints 191373, 191374, 135133, 135166, 185466, 185467 - 401 on direct fetch; row content for 2018 and 2025 legible in search-result titles. (4) bla-regulatory.com secondary compilation - retrieved successfully, supplied INDs with activity 2020-2024 and 2024 receipts, explicitly states it lacks a multi-year receipt series. (5) FDA Annual CDER Reports to Congress index - located but individual PDFs sit behind the same 401.","Intervening years 2019-2023 lie on a roughly log-linear path between 852 (2018) and 1,139 (2024) commercial receipts, i.e. approximately 894, 939, 985, 1,034 and 1,085. Compound growth 4.96%/yr.","E-5050 (two verified anchor years), E-5061 (derived CAGR). Cross-checked for consistency against the independently recovered and complete INDs-with-activity series (E-5049), which grew 3.18%/yr over 2020-2025 - a lower rate than receipts, as expected since the active stock integrates receipts against terminations and withdrawals. The missing intervening years affect only the precision of the CAGR, not its sign or order of magnitude, and no conclusion in the report depends on any single intervening year."
G,Aseptic fill-finish global utilization rate (percent),sterile injectable aseptic fill-finish capacity utilization shortage lead time 2025 2026 | global vaccine manufacturing capacity doses 2025 utilization surplus fill finish | WebFetch of L.E.K. 'Aligning Aseptic Fill/Finish Operations With Global Pharmaceutical Demand',"No organization publishes an installed-capacity denominator for aseptic filling, so no utilization ratio can exist publicly. L.E.K. explicitly relies on qualitative assessment and discloses no capacity, CAGR, gap or lead-time numbers. Trade sources repeat 'demand outpaces capacity' with no measurement.","L.E.K. Consulting insight page (fetched, no numbers); PDA PDA-Letter supply chain fragility article; Pharmaceutical Technology 'How biopharma is scaling sterile manufacturing in 2026'; Grand View sterile injectable CMO report (paywalled methodology); outsourcedpharma.com fill/finish capacity updates","u = 0.85, saturation multiple 1.12x","Inferred under the stated proxy rule from the consistent 5-10 year demand-exceeds-supply framing plus a 2-3 year build lag and format non-fungibility. Entered in the CSV and in E-6066 as an assumption, explicitly not an observation."
G,ADC bioconjugation suite utilization or booking lead time,ADC bioconjugation capacity constraint booking lead time months CDMO 2025 utilization | 'bioconjugation' capacity fully booked sold out ADC CDMO 2025 waiting list expansion Lonza Visp Samsung | WebFetch of C&EN 'Drug services companies ride the ADC wave',Every source asserts scarcity in adjectives only. C&EN fetch returned HTTP 406. No CDMO discloses conjugation suite utilization; Lonza's annual report gives suite counts and market CAGR but not utilization or slot lead time.,C&EN Aug 2026 ADC CDMO article (HTTP 406); Lonza 2025 annual report Integrated Biologics and Advanced Synthesis pages; Samsung Biologics ADC service page; IntuitionLabs ADC CDMO comparison; Persistence/Towards Healthcare market reports (methodology not public),"u = 0.80, saturation multiple 1.19x now, 1.67x after announced expansions","Anchored on two attested facts rather than the adjectives: Lonza is adding 2 suites to 5 at Visp (+40% at a flagship site), and WuXi Biologics' ADC programme count grew ~30% in one year to 252. Capacity growth of ~40% against demand growth of 20-30%/yr implies roughly two years of relief, consistent with a tight-but-not-binding regime."
G,Innovator small-molecule API / oral solid dose utilization rate,small molecule API manufacturing capacity utilization 2025 overcapacity CDMO oral solid dose slack | Lonza 2025 annual report biologics capacity utilization rate percent,No source reports utilization for innovator small-molecule API. Market reports give revenue and CAGR only. The absence of any lead-time or shortage signal in a USD 71bn market is informative but is not a measurement.,Grand View small molecule innovator API CDMO report; Mordor pharmaceutical CDMO report; PharmaSource small molecule CDMO overview; Pharma's Almanac US CDMO expansion wave analysis; outsourcedpharma.com small molecule capacity updates,u = 0.10 against total installed base available to innovator IND work; saturation multiple ~10x,Bounded below by the observation that no small-molecule programme delay attributable to API slot scarcity appears in the CRL record or the FY2025 warning-letter record. This is the loosest number in the deliverable and is labelled as such in E-6069 and in CSV row G-001.
G,Aggregate global installed AAV and lentiviral suite count with a public methodology,AAV viral vector manufacturing capacity overbuild utilization CDMO 2025 2026 excess | viral vector manufacturing capacity exceeds demand gene therapy consolidation site closures 2025 2026 Resilience Charles River | lentiviral vector manufacturing cost per batch capacity constraint 2025 CAR-T supply,"The only capacity and utilization statements originate in paid market reports (Mordor, Roots Analysis, SNS Insider) and in AI-generated aggregator pages (IntuitionLabs), none of which disclose a sample or a denominator. The '<50% utilization' figure recurs across outlets with no traceable primary source, so it is recorded with circular_risk true.",Mordor Intelligence viral vector manufacturing report; IntuitionLabs viral vector CDMO comparison; SNS Insider AAV CDMO release via GlobeNewswire; Roots Analysis viral vector and plasmid report; BioProcess International facilities/capacity coverage; OXB and Fierce Pharma transaction reporting,"AAV suite utilization ~50%, saturation multiple 1.9x static and ~1.5x net of 2025 contraction","Not adopted from the market reports on their own authority. Corroborated by two legally consequential events that no market report controls: National Resilience closing 6 of 10 sites in 2025, and an FDA-approved 125,000 sq ft commercial viral vector plant transacting at USD 4.5m. A distressed asset price is a market-clearing observation and is the strongest available proxy for excess supply."
G,Numeric utilization of installed mRNA drug substance lines,mRNA manufacturing capacity idle underutilized post-pandemic 2025 doses installed | global vaccine manufacturing capacity doses 2025 utilization surplus fill finish,"Sources state lines run at 'a fraction of nameplate' and that a major manufacturer is downsizing, but publish no percentage and no nameplate denominator. Company filings disclose impairments and network restructuring, not line utilization.",BioProcess International Moderna network coverage; BioPharma APAC 'After the Rush' capacity hangover analysis; Frontiers in Virology mRNA manufacturing review; WHO global vaccine market landscape Nov 2025 PDF; Nature commentary on mRNA study cancellations,"u = 0.16, saturation multiple 6x","Assumption entered explicitly in E-6068 and CSV row G-080 to make the arithmetic auditable. The qualitative direction (large idle capacity) is corroborated by an operator actively closing capacity, which is a costly and therefore credible signal."
G,CMC share of the 89 CRLs issued for pending or withdrawn applications,FDA published complete response letters CMC manufacturing facility share percent analysis | 'complete response letters' FDA 2025 published 202 CRLs database transparency analysis deficiency categories,"FDA released the second batch in September 2025 but no published analysis decomposes those 89 letters by deficiency type. This is precisely the cohort needed to answer how often manufacturing prevents rather than delays an approval, and it has not been analysed by anyone located.",openFDA Complete Response Letters transparency API page; FDA press announcement 10 July 2025; Morgan Lewis Oct 2025 advisory; Arnold & Porter Sept 2025 advisory; DLA Piper Aug 2025 publication; FDA Law Blog July 2025 post; Pharma Manufacturing analysis of the first 202,Manufacturing is the terminal cause of roughly 20% of permanent non-approvals,"Taken from the independent Parexel figure that CMC deficiencies account for ~20% of non-approval decisions, cross-checked for direction against the fact that CMC is the second most common cause of oncology IND clinical holds. Recorded as E-6027 and carried in E-6074 with the selection caveat stated."
G,Global vaccine installed dose capacity and utilization,global vaccine manufacturing capacity doses 2025 utilization surplus fill finish | mRNA manufacturing capacity idle underutilized post-pandemic 2025 doses installed,"Center for Global Development and WHO both document that global vaccine manufacturing capacity is poorly defined, inconsistently measured and insufficiently understood. There is no authoritative installed-dose denominator to divide into.",WHO Global market landscape of vaccine manufacturing and procurement (Nov 2025 PDF); CGD 'What We Know (and Don't Know) About Global Vaccine Manufacturing Capacity'; CGD 'Six Blind Spots' blog; Launch and Scale Speedometer vaccine manufacturing tracker; PLOS Global Public Health capacity prioritisation paper,Constraint verdict 'unknown' for bulk vaccine drug substance; 'near_binding' for the sterile fill-finish step vaccines share with every other injectable,"The fill-finish judgement is transferred from the shared fill-finish analysis, which is the step vaccine sponsors are actually reported to be queueing for. Bulk antigen capacity is left explicitly unknown rather than guessed."
G,Quantified rate of clinical trial delays attributable to manufacturing or CMC,percentage of clinical trial delays caused by manufacturing CMC supply survey drug development | FDA drug GMP warning letters 2025 number issued inspections 483 preapproval inspection failure delay approval,No survey with a stated sample and denominator was located. Consultancy blogs assert 'three to six months' typical delay with no cited study. Tufts CSDD and PAREXEL surveys on this specific question are not publicly available.,Parexel CMC strategy insight; Clarivate CMC submissions blog; Applied Clinical Trials 'Drug Development on Rails'; Trialonic CMC clinical trial delays page; Synerg Biopharma quality gaps posts; DSI Pharmatics CMC delay article,3-6 months per affected programme; CMC is the second most common cause of oncology IND clinical holds,"The 3-6 month figure recurs across independent consultancies and is consistent with the observed one-review-cycle penalty in the CRL data. The clinical-hold ranking is the only ordinal fact with a regulatory origin, and it is what the estimate is anchored to."
G,"Explicit utilization percentages in Lonza, Catalent/Novo, Thermo Fisher and Charles River filings","Lonza 2025 annual report biologics capacity utilization rate percent | WebFetch of Lonza Annual Report 2025 Integrated Biologics page | Samsung Biologics 2025 annual results capacity 784,000 liters utilization rate plant 5 | WuXi Biologics 2025 annual results backlog total capacity liters new projects added","Of the major CDMOs, only Samsung Biologics states utilization in plain language ('full utilization across Plants 1 through 3'). Lonza reports sales growth, contracting volumes and capacity additions but no utilization ratio. WuXi reports backlog and project counts, not utilization. Catalent is now private under Novo Holdings and no longer files segment capacity data.",Lonza annual report 2025 Integrated Biologics and Advanced Synthesis pages (fetched); Lonza FY2025 results deck via SGX; Samsung Biologics FY2025 PR (fetched); WuXi Biologics FY2025 results and earnings deck; SEC EDGAR full-text search,Commercial-scale mammalian utilization at or near 95%; clinical-scale mammalian utilization ~80%,"Samsung's 'full utilization' across four plants is the one legally-attested anchor and is used as the commercial-tier value. The clinical-tier value is inferred from Lonza simultaneously reporting high contracting volumes and continuing to commission new 2,000 L trains, which is behaviour consistent with high-but-not-saturated early-phase utilization."
G,Annual flow of new CBER cell and gene therapy INDs,CBER number of cell and gene therapy INDs active 2025 FDA OTP submissions per year | FDA number of INDs filed per year 2024 2025 commercial IND submissions CDER CBER statistics,"FDA publishes an 'INDs with Activity' series for CDER but no equivalent annual submission series for CBER OTP. Only the stock of active INDs (>2,500 CGT, ~1,300 gene therapy) is disclosed.",FDA INDs with Activity page; FDA CBER OTP listening meeting materials via Friends of Cancer Research; Cell & Gene 2025 outlook article; BLA Regulatory CDER IND activity analysis; FDA submission statistics page,Roughly 350 new commercial CGT INDs per year,"Derived as 2,500 active INDs divided by an assumed ~7-year average active IND life. Stated as a derived assumption in E-6060 and used only to size the Part 4 denominator, where it changes no ordinal conclusion."
G,Published numeric cross-species transfer failure rate for engineered AAV capsids,AAV capsid directed evolution CNS tropism mouse to non-human primate translation failure PHP.eB species specificity | WebFetch of Frontiers 'Species barriers in AAV tropism' (2026),"The 2026 review states the problem is widespread and gives named case examples but publishes no percentage, and no fold-differences. No paper located reports a systematic denominator of capsids selected in mice and subsequently tested in NHP.",Frontiers Acta Biochim Pol species barriers review (fetched); Nature Gene Therapy 2026 cross-species applicability review; Science Advances CA-IV/LY6C1 paper; bioRxiv ALPL preprint; Neuron 2022 engineered AAV NHP paper; PackGene cross-species translation article,"~100% failure of the specific murine magnitude of gain, for capsids selected on non-conserved receptors","Constructed from the named case set rather than a survey: PHP.B and PHP.eB (LY6A-dependent) fail in BALB/c, NHP and human; MyoAAV is diminished in NHP; LK03 shows the mirror-image failure. Capsids selected on species-conserved receptors (CA-IV, ALPL) are the only families reported to transfer. Recorded as E-6071 and labelled a methodology failure rate, not a biological ceiling."
G,Directly measured human %ID to liver for a clinical ionizable LNP,lipid nanoparticle biodistribution percent injected dose liver ApoE LDLR extrahepatic delivery quantitative | WebFetch of Molecular Therapy MCD 'Why do lipid nanoparticles target the liver?' (HTTP 403),"Human LNP biodistribution is characterised pharmacodynamically (target protein knockdown or expression) rather than by radiolabelled %ID/organ, which is essentially never done in humans. The %ID/organ literature is murine.",Molecular Therapy MCD review on cell.com (HTTP 403) and its ScienceDirect mirror; Advanced Materials 2026 Sarode paper; Science Advances engineered ionizable LNP paper; Journal of Controlled Release extrahepatic LNP review; PMC mirror of the liver-tropism review,40 %ID to liver used as a deliberately conservative human anchor,"Murine studies commonly place the majority of injected dose in liver; 40% is set below the typical murine value to avoid overstating the tumour-to-liver ratio. Even at this conservative value the ratio against 0.01 %ID/g human tumour is ~4,000-fold, so the conclusion in E-6072 is insensitive to the assumption."
G,Human muscle %ID versus liver %ID for systemic AAV,systemic AAV muscle gene therapy dose vg/kg liver toxicity deaths Elevidys 2025 biodistribution muscle vs liver,"Human biodistribution for approved systemic AAV is available only from autopsy case reports and is not published as a %ID/organ ratio. Sponsors publish vector genomes per diploid genome in biopsied muscle, not injected-dose fractions.",FDA Elevidys safety announcement; LiverTox monograph on delandistrogene moxeparvovec; Sarepta investor safety update; Chemistry World and PharmaVoice coverage; PackGene spatially controlled AAV article,Off-target hepatic accumulation is the dominant sink at the labelled 1.33e14 vg/kg dose,"Established by the clinical consequence rather than by a biodistribution number: three acute liver failure deaths in 2025 across two muscle-directed AAV programmes, and an FDA boxed warning for hepatotoxicity. The dose required to reach ~40% of body mass as muscle is what puts the liver over its threshold, which is the substantive point regardless of the missing ratio."
