tech_id,bottleneck_id,tech_name,principle,trl,trl_basis,developers,decisive_milestone,remaining_hard_problems,commercialization_from,commercialization_to,commercialization_reasoning,failure_scenario,attacks_axis,depends_on,modality_scope,evidence_ids,notes
T-044,B8,Broad in vitro secondary pharmacology panels with target-adverse-reaction association maps,"Screen a candidate against a wide panel of off-targets and interpret hits against an empirical map linking each off-target to adverse reactions observed for marketed drugs, so that an off-target liability is translated into a specific predicted clinical adverse event rather than a generic flag.",8,Panels are a routine third-party service and the target-ADR association resource is published in Nature Communications with a follow-up analysis of clinically discontinued compounds; proven in operations though not required by regulation. [E-8096],Eurofins Cerep; Charles River Laboratories; Novartis and Roche safety pharmacology groups who published the association resource; FDA safety pharmacology reviewers,A published prospective analysis showing that programmes using panel-plus-association-map triage have a lower rate of clinical safety-driven discontinuation than matched programmes that do not; checkable by 2030.,"Panels cover a few hundred targets out of a proteome; potency at an off-target does not translate to clinical effect without free-drug exposure at the relevant tissue, which the panel does not measure; and association maps are confounded because drugs that hit a given off-target share chemotypes and indications.",2010,2026,"Long-established commercial practice; the incremental technology is the association map, which is published and freely usable now.","The panel identifies liabilities that medicinal chemists cannot engineer out without losing primary potency, so the information arrives without an actionable response and programmes proceed anyway.",C;P,,small molecule primarily,E-8096;E-8033,
T-045,B8,Generative de-risking: model-guided redesign to remove a specific safety liability,"Use a generative model conditioned jointly on primary target activity and on a predicted safety liability to propose analogues that retain the former and lose the latter, converting safety optimisation from a screening exercise into a design objective.",3,"Reported as a computational case study with a claimed 700-fold hERG affinity reduction in a redesigned compound; proof of concept in silico, with no prospective wet-lab or clinical confirmation reported. [E-8032][E-8031]",Academic cheminformatics groups publishing CardioGenAI and related models; Isomorphic Labs; Recursion; Insilico Medicine; large pharma computational chemistry groups,"A compound designed by conditional generative de-risking enters clinical trials and its safety margin on the specific liability is confirmed in vivo, with the design provenance disclosed; checkable by 2030.","Generative models optimise against a predictor, and optimising hard against an imperfect predictor produces molecules that exploit the predictor's blind spots rather than molecules that are safer. Multi-objective optimisation across several liabilities simultaneously has no demonstrated solution.",2029,2035,"The method is at case-study stage; moving from a single retrospective example to prospective clinical confirmation requires a full discovery-to-IND cycle, roughly four to six years once a programme commits.","Reward hacking against the safety predictor: the generated molecules score well on the model and fail in the assay, and the approach is abandoned as untrustworthy.",P,B10,small molecule,E-8032;E-8031,
T-046,B8,Large public human toxicogenomics reference resources,"Build a public, standardised dataset linking many compounds to human cellular transcriptomic responses at controlled exposures, so that any group can train and, critically, externally validate a toxicity model on the same reference instead of on proprietary internal data of unknown composition.",5,"A large-scale human toxicogenomics resource for DILI prediction was published in Nature Communications and is publicly available; validated as a resource in a relevant environment, not yet embedded in decision workflows. [E-8086]",Academic consortia publishing in Nature Communications; NIH Tox21 and ToxCast programmes; EU-ToxRisk successors; Broad Institute Connectivity Map lineage,Two independent groups publish DILI models trained on the resource whose prospective performance on an external compound set is within a narrow band of each other; checkable by 2029.,"Transcriptomic response at 24 hours in a cell line is a distant proxy for organ injury in a patient over months; and the compounds in any such reference are biased toward those that already failed, so the negative class is poorly defined.",2026,2030,"The resource is available now; models built on it and externally validated should appear within a few years, which is the actual test of value.","The resource becomes a benchmark on which models compete without any of them improving prospective decisions, repeating the pattern of earlier toxicogenomics databases.",P,B10,small molecule,E-8086,also serves B10
T-047,B9,Droplet microfluidic ultrahigh-throughput screening with cell-free expression,"Compartmentalise each library member in a picolitre droplet with cell-free transcription-translation and an activity-coupled fluorescent readout, then sort at kilohertz, so that ten million protein variants can be functionally assayed in an hour without cloning into or expressing in a living host.",6,"Peer-reviewed JACS demonstration of ten million variants sorted in under one hour with bifunctional bead capture; validated in a relevant environment and available in specialised laboratories, not a commodity service. [E-8054]",ETH Zurich and Cambridge droplet microfluidics groups; Sphere Fluidics; Atum and enzyme engineering companies; Ginkgo Bioworks,A commercial provider offers droplet screening of 10^7 variants per campaign as a catalogue service with published turnaround and price; checkable by 2029.,"The assay must be coupled to fluorescence, which excludes most therapeutically interesting phenotypes; cell-free expression fails for membrane proteins and for anything requiring mammalian post-translational modification; and hits selected in a droplet frequently do not reproduce in cells.",2026,2031,The platform works now in expert hands; commoditisation of microfluidic instrumentation has historically taken five or more years.,"The technology delivers enormous throughput on the small subset of problems expressible as a fluorescence readout, and the field's actual bottleneck - phenotypic and in vivo assays - is untouched.",T;C,,"enzymes, binders, protein therapeutics",E-8054,"LOW-VALUE FLAG: B9 elasticity point is 0.9, and library screening is already among the fastest steps in the pipeline"
T-048,B9,Self-driving laboratories with closed-loop design-build-test-learn,"Let a model propose the next experiment, a robot execute it, instruments capture the result and the model update, iterating without human intervention, so that the cycle time of an optimisation campaign is set by robot throughput rather than by researcher scheduling.",4,"A 2026 review states most systems marketed as self-driving operate at autonomy Level 2 with only a handful at Level 3, and the flagship demonstrations are in robotically simple chemistry; component validation with narrow demonstrations. [E-8055][E-8056]",Lawrence Berkeley National Laboratory (A-Lab); University of Toronto Acceleration Consortium; Emerald Cloud Lab; Ginkgo Bioworks; Chemify; academic SDL groups,An independently reported campaign in which a self-driving system autonomously optimises a therapeutically relevant biological property - not a materials or reaction-yield property - over at least fifty closed-loop iterations without human intervention; checkable by 2030.,"Biological assays fail in ways that require human diagnosis; sample handling for cells and tissues is far less robust than for liquids; and the model must know when its own uncertainty means the next experiment should be a control rather than an exploration, which no deployed system does reliably.",2028,2036,"Level 3 autonomy exists in narrow chemistry now; extension to biology requires assay robustness improvements that are incremental and slow, and full autonomy in biology has no announced credible milestone.","Systems reach Level 2 or 3 and stop, because every additional increment of autonomy requires handling a longer tail of failure modes; the economic case never closes against skilled technicians plus conventional automation.",T;C,B10,"small molecule, protein engineering, media and process optimisation",E-8055;E-8056,"LOW-VALUE FLAG: attacks a low-elasticity bottleneck and its main output is more data, whose value depends on B10 and B1"
T-049,B9,"LLM agent orchestration of laboratory workflows (Coscientist, Virtual Lab class)","Use a language model as the planning layer that reads literature, writes the protocol, calls instrument APIs and interprets results, so that the expertise needed to design and execute a multi-step experiment is supplied by the model rather than by a specialist.",3,"Published demonstrations include an LLM agent optimising real chemical reactions and a 2025 agent-designed nanobody set that was experimentally validated; proof of concept, with no routine third-party deployment. [E-8055]",Carnegie Mellon (Coscientist); Stanford (Virtual Lab); FutureHouse; Anthropic and OpenAI research collaborations; academic agent laboratories,"An agent-designed and agent-executed experimental campaign produces a molecule or biologic that enters IND-enabling studies, with the agent's role documented; checkable by 2030.",Agents cannot currently detect that an experiment failed for a mundane physical reason rather than a scientific one; hallucinated protocol steps are unsafe in a wet laboratory; and there is no accepted way to attribute or audit responsibility for an agent-designed experiment.,2029,2036,Current demonstrations are single-campaign research results; safe deployment in a regulated or even a GLP-adjacent environment requires audit and safety layers that do not exist.,"Agents remain useful for literature synthesis and protocol drafting and are never trusted to close the loop, so the bottleneck - physical execution and interpretation - is unchanged.",T,B13,all modalities in discovery,E-8055;E-8056,
T-050,B9,Cloud laboratories and remote-execution experimental APIs,"Expose a fully instrumented laboratory as a programmable service so that an experiment is submitted as code, executed by a remote facility and returned as structured data, decoupling experimental capacity from a research group's own equipment and staff.",7,"Cloud laboratories operate commercially and execute third-party protocols in production; demonstrated in the operational environment, not 9 because coverage of assay types remains narrow and adoption is a small share of research spend. [E-8055]",Emerald Cloud Lab; Strateos lineage; Ginkgo Bioworks Reconfigurable Automation Carts; large pharmaceutical internal automation platforms,A published drug discovery programme executes the majority of its experimental work through cloud laboratory APIs from hit identification to candidate selection; checkable by 2029.,"The assay catalogue is limited to what the facility has automated, which excludes bespoke biology; latency and shipping for cells and tissues constrain the experiment types; and troubleshooting an unexpected result remotely is slower than at the bench.",2020,2027,Commercially available now; the window reflects the period over which assay coverage broadens enough for majority-of-programme use.,"Cloud execution is efficient for standardised assays that were never the bottleneck, and every programme retains a local wet laboratory for the non-standard work, so total cycle time is unchanged.",T;C,,all modalities in discovery,E-8055,LOW-VALUE FLAG: standardised assays are not the constraint
T-051,B9,Image-based optical pooled screening in primary cells and tissues (PerturbView class),"Read perturbation identity in situ by sequencing a barcode directly inside fixed cells, so that a pooled genetic screen can use rich morphological imaging as its phenotype, in primary cells and tissue sections rather than only in dissociable cell lines.",5,"Method published with demonstration in primary cells and tissues; validated in a relevant environment and being commercialised, but not yet a routine service. [E-8097][E-8012]",Broad Institute (Blainey and Carpenter groups); Whitehead Institute; Ramanathan and colleagues (PerturbView); 10x Genomics and imaging platform vendors,A commercial provider offers image-based pooled screening in primary human cells at genome scale with published cost and turnaround; checkable by 2030.,"Barcode detection efficiency in thick tissue limits the practical library size; morphological phenotypes need very large training sets to become interpretable; and imaging throughput, not library size, becomes the constraint.",2027,2032,The method is published and being commercialised; single-cell method commoditisation historically runs three to five years.,"Morphological readouts prove hard to map onto disease-relevant phenotypes, so screens generate rich data whose biological interpretation requires the same follow-up work the screen was meant to avoid.",T;C,B10,target discovery across modalities,E-8097;E-8012,also feeds B1
T-052,B10,"Cross-pharma federated learning consortia (MELLODDY lineage, K-MELLODDY, Apheris)","Train a shared model across partners' private datasets by exchanging model updates rather than data, so that the effective training set is the union of every partner's proprietary assay history without any partner disclosing its compounds or results.",6,"MELLODDY federated 2.6 billion activity points across ten companies with published aggregated model improvements, and successor programmes are running in Korea and through commercial platforms; validated in a relevant environment, with the original consortium concluded rather than converted into standing infrastructure. [E-8057][E-8060][E-8088]","MELLODDY consortium (ten pharmaceutical companies, Owkin, Iktos, academic partners); K-MELLODDY (Korea); Apheris; NVIDIA FLARE community","A standing, funded federated infrastructure operating continuously across at least five pharmaceutical companies for three consecutive years, with published model performance deltas; checkable by 2030.",Batch effects between contributing sites can impair federated model performance independently of privacy design; partners' assay protocols differ enough that the same nominal endpoint is not the same measurement; and the incentive to contribute high-quality data is weak when benefit is shared.,2027,2032,"The technical demonstration is complete; what is missing is a sustainable governance and funding vehicle, which is an institutional rather than technical timeline.","Performance gains are real but small - a few points of AUC - and do not justify the legal and infrastructure overhead, so consortia dissolve at the end of each grant cycle, as the original one did.",P,,small molecule ADMET and QSAR primarily,E-8057;E-8060;E-8088;E-8098,
T-053,B10,Precompetitive open data generation programmes (LIGAND-AI),"Fund the deliberate generation of new experimental data - including negative results and systematically sampled chemical space - and place it in the public domain, rather than mining data generated for other purposes, so that the training distribution is designed rather than inherited.",4,LIGAND-AI launched in 2026 with reported funding around EUR 60 million and named industrial and academic partners; the programme exists and is funded but has not yet released data or demonstrated model improvement. [E-8058],Innovative Health Initiative; Pfizer; Structural Genomics Consortium; Goethe University Frankfurt; Abcam; participating pharmaceutical companies and hospitals,"Public release of a protein-small-molecule interaction dataset from the programme, together with an independent demonstration that models trained with it outperform models trained without it on a held-out prospective task; checkable by 2030.",Deciding which negatives to generate is itself a modelling problem - uniformly sampled negatives are uninformative and adversarially chosen negatives encode the current model's biases; and assay standardisation across contributing sites is the same unsolved problem that limits federated learning.,2028,2033,Programme funding runs several years before substantial data release; independent validation of benefit follows release by one to two years.,"The programme produces a large, clean dataset in a chemical and target space that the field had already covered, because the partners contribute what is easy rather than what is missing.",P,,small molecule; protein-ligand interaction,E-8058,one of very few technologies aimed at negative data specifically
T-054,B10,"Standardised immutable benchmarks with enforced evaluation protocols (Polaris, Virtual Cell Challenge)","Freeze datasets and evaluation splits in a hosted registry that participants cannot modify, so that reported model performance is comparable across groups and the field can tell whether a claimed improvement is real - which is the precondition for knowing whether more data helps.",6,"Polaris operates as a public benchmarking platform with deliberately limited flexibility for reproducibility, and the Virtual Cell Challenge is published in Cell; operational infrastructure whose influence on the field's reporting norms is not yet established. [E-8059][E-8008]",Polaris Hub (Valence Labs and partners); Arc Institute (Virtual Cell Challenge); Therapeutics Data Commons; MLCommons science working groups,"A major journal or a major pharmaceutical company adopts a benchmark registry result as a required element of a method claim, replacing self-reported held-out performance; checkable by 2029.","A frozen benchmark is gamed over time as the community overfits to it, and refreshing it destroys comparability; and benchmark tasks are chosen for tractability rather than for correspondence to a decision anyone makes.",2025,2029,Infrastructure is operational; norm adoption depends on editorial and industrial policy decisions that could happen quickly or not at all.,"Benchmarks are adopted enthusiastically and overfit within two years, so leaderboard position stops correlating with prospective usefulness - the pattern already seen in molecular property prediction.",P,,"small molecule, protein, single-cell",E-8059;E-8008,
T-055,B10,Industrial perturbation data factories as a purpose-built training corpus,"Operate a dedicated high-throughput single-cell platform whose product is the dataset rather than a drug, running planned combinatorial perturbation designs at a scale no individual laboratory reaches, so that the training corpus is designed for model fitting instead of scavenged from publications.",7,"Tahoe-100M was produced, released and heavily redistributed, and a four-fold larger successor with 225,000 perturbation interactions was announced in January 2026; this is a functioning industrial operation. [E-8006][E-8007]",Tahoe Therapeutics (Mosaic platform); Arc Institute; Chan Zuckerberg Biohub; Recursion Pharmaceuticals phenomics; Insitro,"A model trained on a purpose-built perturbation corpus outperforms the same architecture trained on public scavenged data on a prospective, externally held task; checkable by 2029.",Scale in cell lines does not substitute for diversity in biology - fifty cancer lines and a few thousand chemicals span a narrow slice of human physiology; and single-cell transcriptome is one readout among many that matter.,2025,2029,The data are already commercial; the value question resolves within a few years as models trained on them are prospectively evaluated.,"The corpus improves models on tasks resembling the corpus and not on tasks that matter, and the field discovers it has scaled the wrong axis - more perturbations of the same fifty cell lines rather than more biological contexts.",P,,oncology-weighted small molecule and biologics,E-8006;E-8007,
T-056,B10,"Self-driving laboratories as designed data generators, including negatives","Point a closed-loop autonomous platform at the goal of maximising information rather than maximising hits, so that the experiments run are the ones the model is most uncertain about - which systematically produces the negative and boundary-condition data that human-run campaigns never publish.",4,"Self-driving platforms exist at autonomy Level 2-3 but are configured for optimisation, not for information-maximising data generation; the specific application is a concept with component validation only. [E-8055][E-8056]",University of Toronto Acceleration Consortium; Lawrence Berkeley National Laboratory; Emerald Cloud Lab; academic active-learning groups; Ginkgo Bioworks,"A published dataset generated by an active-learning autonomous platform, containing a designed balance of positives and negatives, is shown to improve model performance more per experiment than an equally sized conventionally generated dataset; checkable by 2030.","Active learning requires a calibrated uncertainty estimate, which current biological models do not provide; and information-maximising experiments are individually uninteresting, so no one funds them without a separate mechanism.",2029,2036,"Depends on self-driving laboratories reaching reliable Level 3 in biology, which is itself a late-decade prospect, plus a funder willing to pay for data rather than for discoveries.","No one pays for negative data. The platforms are owned by companies whose incentive is to find hits, and the boundary-condition data stay unmeasured and unpublished.",P,B9,all modalities,E-8055;E-8056,DEPENDENCY: presupposes B9 self-driving labs reach reliable autonomy - a technology whose own bottleneck is unsolved
T-057,B11,Government-brokered multi-state outcomes-based agreements (CMS Cell and Gene Therapy Access Model),"Have a single public payer negotiate an outcomes-linked price on behalf of many state programmes at once, with rebates if the therapy underperforms, so that a payer facing a one-time seven-figure cost is insulated from durability risk and a manufacturer faces one negotiation instead of fifty.",7,"Operating with 33 states plus DC and Puerto Rico covering about 84 percent of Medicaid sickle cell beneficiaries, with negotiated terms in place with both manufacturers and up to USD 9.55 million per state in implementation funding; demonstrated in the operational environment with no outcome evaluation published. [E-8061]",CMS Innovation Center; state Medicaid agencies; Vertex Pharmaceuticals; Genetix Biotherapeutics (formerly bluebird bio); CIBMTR as outcomes registry,CMS publishes utilisation and outcome data showing a material increase in gene therapy treatment rates among Medicaid sickle cell beneficiaries relative to the pre-model baseline; checkable by 2029 from CMS model evaluation reports.,"Outcomes-based agreements require an outcome measurable within a payer's patience horizon, and durability of a one-time therapy is by definition a long-horizon question; patient mobility between payers breaks the link between who pays and who benefits; and the administrative burden of tracking outcomes has historically exceeded the rebate value.",2025,2029,"The model is running with state start dates through January 2026 and a defined evaluation period, so evidence on whether it changes access arrives within a few years.","Uptake stays low because the barrier was never price alone - it was the availability of transplant-capable centres, the myeloablative conditioning burden and patient willingness - so the model demonstrates that price was not the binding constraint.",C;P,B15,gene therapy and cell therapy; one-time high-cost treatments,E-8061,the only technology here that directly attacks payment for durable one-time therapies
T-058,B11,Transferable priority review vouchers as a pull incentive,"Award a tradeable entitlement to expedited review for developing a product in a commercially unattractive area, so that the developer monetises the voucher on the open market and the reward is funded by another company's willingness to pay for speed rather than by an appropriation.",8,"A decade-old operating programme reauthorised through September 2029 with an active secondary market at roughly USD 80-150 million per voucher; proven in operations, not 9 because the causal effect on programme initiation is contested. [E-8062]",U.S. Congress; FDA; voucher-holding sponsors and purchasers; Duke-Margolis and academic policy evaluators,A published quasi-experimental evaluation using the 2024 lapse and 2026 reauthorisation as a natural experiment shows a measurable change in rare pediatric programme initiations; checkable by 2029.,"The voucher rewards approval, not need, so it can pay for products that would have been developed anyway; its value depends on a secondary market whose price has been volatile; and it consumes review capacity, so the benefit to one sponsor is partly a cost to others.",2012,2026,Already operating; the reauthorisation to 2029 defines the current policy horizon.,"The programme is shown to be paying largely for products that would have been developed regardless, and Congress declines to reauthorise it again in 2029.",C,B5,"rare pediatric disease, tropical disease, medical countermeasures",E-8062,
T-059,B11,Synthetic royalty monetisation and non-dilutive structured finance,"Sell a defined slice of future product revenue to a specialist investor for cash today, so that a developer converts an asset's expected cash flows into development capital without issuing equity at a depressed valuation or taking on debt with covenants it cannot meet.",8,"Roughly USD 2.7 billion in reported royalty transactions in the first half of 2025 alone and near-universal executive intent to consider the instrument; proven in operations, not 9 because it is available almost exclusively to companies with approved or near-approved products. [E-8063]",Royalty Pharma; Blackstone Life Sciences; HealthCare Royalty; DRI Capital; sponsor chief financial officers,"Published data showing royalty financing volume extending materially into pre-approval assets, not just marketed products; checkable by 2029 from transaction databases.","The instrument prices risk that the seller understands better than the buyer, so it works best precisely where uncertainty is lowest - which is not where capital is scarcest. It does nothing for preclinical and early clinical assets, where the funding gap actually sits.",2010,2026,Mature and growing market; no technical development required.,"Royalty capital continues to concentrate on de-risked late assets, so the early-stage funding gap that drives attrition is untouched and the instrument simply reallocates returns among late-stage investors.",C,,all modalities; late-stage and marketed assets,E-8063,LOW-VALUE FLAG: attacks the part of the capital chain that is least constrained
T-060,B11,Focused Research Organizations as mission-scoped non-dilutive vehicles,"Fund a time-limited organisation with a single defined deliverable - a tool, dataset or process that is too applied for academia and too unprofitable for a company - at roughly USD 25-75 million over five to seven years, then wind it down and place the output in the commons.",5,"A developed policy proposal with defined budgets and structures, and a small number of operating instances; the concept is validated in a relevant environment but the model has not been shown to deliver at the scale proposed. [E-8064]",Federation of American Scientists; Convergent Research; Schmidt Futures and philanthropic funders; NIH and ARPA-H as potential public funders,At least five FROs complete their mandates and their outputs are demonstrably used as standard infrastructure by third parties; checkable by 2031.,"The model assumes the deliverable can be specified in advance, which is exactly what is uncertain for the hardest infrastructure problems; and wind-down means no one maintains the output after year seven, which is when most research infrastructure needs maintenance most.",2027,2034,"Existing instances are mid-mandate; a track record sufficient for the model to become a standard funding instrument needs at least one full cohort to complete, which is late in the decade.",FROs deliver their artefacts and nobody maintains them; the tools decay within three years of wind-down and the field returns to the fragmented status quo.,C;P,,modality-agnostic research infrastructure,E-8064,"the natural vehicle for B10 data infrastructure, which no company will fund alone"
T-061,B11,Harmonised EU joint clinical assessment as a single-evidence-package mechanism,"Replace parallel national clinical assessments with one EU-level joint clinical assessment, so that a developer prepares one comparative evidence package instead of twenty-seven, shortening the aggregate time and cost from approval to reimbursement decisions.",7,"In force since January 2025 for oncology medicines and advanced therapies, extending to orphan products in 2028 and all products in 2030; operating in the real environment with a first-year experience record but no measured effect on access timing. [E-8065]",European Commission DG SANTE; EU HTA Coordination Group; national HTA bodies; EFPIA member companies; EUnetHTA legacy consortium,A published analysis shows that time from EU marketing authorisation to first national reimbursement decision has fallen for JCA-scope products relative to the pre-2025 baseline; checkable by 2029.,"Member states retain final authority on value, pricing and reimbursement, so the joint assessment adds a step rather than replacing national ones; and requiring all relevant PICOs across member states can multiply the indirect treatment comparison workload rather than reducing it.",2025,2030,"Phased implementation is fixed by regulation through 2030, so the technology's full scope and its measured effect both arrive on that schedule.","The PICO multiplication effect dominates: developers must produce more comparative analyses than before, evidence generation cost rises, and national decisions are unchanged because member states give the joint assessment only nominal regard.",C,B15,all modalities in the EU,E-8065,could plausibly worsen rather than relieve B11; flagged as ambiguous-sign
T-062,B11,Advance market commitments and pull funding for uncommercial indications,"Commit in advance to purchase a specified quantity of a product meeting pre-agreed criteria at a pre-agreed price, so that a developer faces a defined market for a product that would otherwise have none, without the funder needing to pick which technical approach will win.",7,"The mechanism has been executed at scale in vaccines with a defined precedent and is documented as a standing policy instrument; demonstrated operationally, with limited application outside vaccines and pandemic countermeasures. [E-8099]",Gavi; World Bank; BARDA; Wellcome Trust; Center for Global Development economists who designed the mechanism,An advance market commitment is executed for a non-vaccine therapeutic area - antibiotics being the canonical case - with at least one product delivered against it; checkable by 2031.,"Setting the price and volume correctly requires knowing the cost of a product that does not exist; the commitment must be credible across political cycles longer than any government's term; and for chronic-use therapeutics the volume commitment conflicts with stewardship goals, as the antibiotic case shows.",2027,2034,Antibiotic subscription models are being legislated and piloted in several jurisdictions; a decade is a reasonable horizon for a demonstrated non-vaccine execution.,"The commitment is set too low to change investment decisions, because the political willingness to pay is calibrated to current prices rather than to the cost of the missing product.",C;P,,"antibiotics, vaccines, countermeasures, neglected disease",E-8099,
T-063,B12,USPTO AI-assisted invention inventorship framework (2025 revised guidance),"Set an explicit administrative rule that inventorship attaches to natural persons who make a significant contribution, and abandon the joint-inventorship factor test as inapplicable to a non-human tool, so that a company using generative models to produce candidate sequences knows in advance whether and how its output can be claimed.",8,"Formal published guidance in the Federal Register, in force and applied by examiners, replacing earlier guidance; proven in operations, not 9 because the rule has not been tested through appellate litigation. [E-8066]",USPTO; U.S. Congress; Federal Circuit through eventual case law; patent bar and biotechnology industry groups,A Federal Circuit decision applies the 2025 framework to an AI-generated biological sequence and resolves what human contribution suffices; checkable by 2031.,"The rule tells you inventorship attaches to humans but not how much human contribution suffices when a model generates ten thousand sequences and a human selects one; and enablement and written description for a computationally generated genus remain governed by Amgen v. Sanofi, which the guidance does not address.",2024,2026,The guidance is in force now; the remaining uncertainty is judicial rather than administrative.,"The framework is superseded by litigation that draws a line elsewhere, and the intervening period of uncertainty causes companies to under-file on computationally derived assets.",C,,all modalities; biologics sequence claims most affected,E-8066;E-8067,B12 elasticity point is 0.3 - among the lowest in the matrix
T-064,B12,Mass AI-generated defensive publication to establish prior art,"Generate and publish very large numbers of enabling technical disclosures across a sequence or chemical space, so that competitors cannot later patent within that space, converting freedom to operate from a licensing problem into a publication problem.",4,"Described as an emerging strategy in legal commentary, with the legal standing of AI-generated disclosures explicitly ambiguous on enablement and public accessibility; concept demonstrated without validated legal effect. [E-8068]",IP.com and defensive publication services; corporate IP departments; open-source biology advocates; patent offices as arbiters,A patent office or court rejects or invalidates a claim on the basis of an AI-generated mass defensive publication; checkable by 2030 from prosecution histories and decisions.,"Prior art must enable a skilled person to practise the invention, and a machine-generated sequence with no experimental support may not enable anything; publishing at scale also destroys the publisher's own ability to patent in that space, which few companies will accept.",2027,2033,"The strategy can be executed today; whether it works depends on office and court decisions, which arrive on a litigation timescale of five or more years.","Offices and courts hold that bulk machine-generated disclosures lack enablement and do not count as prior art, and the companies that pursued the strategy have given away their own patent position for nothing.",C,,"biologics sequences, small molecule chemical space",E-8068;E-8067,
T-065,B12,AI-assisted freedom-to-operate and patent landscape analysis over sequence space,"Search issued patents, applications, preprints and sequence databases with models that understand sequence similarity and claim scope, so that an FTO opinion for a computationally generated candidate can be produced before rather than after the molecule is advanced.",6,"Commercial tools are marketed and used for layered analyses such as ADC antibody-linker-payload freedom to operate; validated in a relevant environment, with accuracy not independently benchmarked. [E-8100]",Cypris; PatSnap; Clarivate and Questel; corporate IP departments; specialist biotechnology patent firms,"An independent benchmark comparing AI-generated FTO opinions against attorney opinions on a blinded set of at least fifty candidate molecules, with agreement rates published; checkable by 2029.","Claim scope is a legal construction that depends on prosecution history and doctrine of equivalents, neither of which is reliably extractable by sequence similarity; and a false negative in FTO is a catastrophic, not a recoverable, error.",2025,2029,Tools are commercially available now; the window covers the period to accepted use as a first-pass filter under attorney supervision.,"The tools miss a blocking claim in an unexpected family, a programme is enjoined, and the class of tools loses professional acceptance for anything beyond landscape visualisation.",C,,all modalities; ADC and antibody most acute,E-8100;E-8067,
T-066,B13,AI copilots embedded in electronic laboratory notebooks and scientific workflows,"Put a model inside the tools scientists already use so that data interrogation, protocol drafting and literature synthesis are done conversationally, raising the output of the existing workforce rather than requiring new hires.",7,"Vendor survey reports 89 percent of scientists using copilots as their first step for interrogating data, and internal upskilling supplying most AI talent; deployed in the operational environment, with the productivity claim resting on vendor-collected self-report. [E-8069]",Benchling; Dotmatics; Scispot and ELN vendors; large pharmaceutical internal platform teams; foundation model providers,"A controlled study inside a pharmaceutical organisation reports experiments per scientist per quarter, or time from question to answer, before and after copilot deployment with the measurement method published; checkable by 2029.","There is no measurement of scientific output that survives the objection that the copilot changed what scientists chose to do as well as how fast they did it; and copilot fluency can substitute for, rather than build, the domain judgement that makes a senior scientist valuable.",2024,2027,"Already deployed at scale; the open question is measured effect, not availability.","Copilots accelerate the production of plausible-looking analyses, junior scientists stop developing the judgement to check them, and organisational absorptive capacity falls rather than rises.",T;C,,all modalities,E-8069,B13 elasticity point is 0.6; this technology could plausibly have a negative sign
T-067,B13,"Public-private apprenticeship and biomanufacturing training consortia (NIIMBL, gene therapy training networks)","Combine online foundational instruction with hands-on cleanroom and bioreactor training designed jointly with the employers who will hire the graduates, so that the pipeline for cell and gene therapy manufacturing roles is built deliberately rather than by poaching.",7,"NIIMBL funded eight technology and workforce projects totalling USD 9.7 million including an apprenticeship hub, and a gene therapy training network has trained cohorts; operating in the real environment at a scale far below the reported vacancy gap. [E-8070][E-8071]",NIIMBL and NIST; the Wistar Institute (BioPATH); University of Houston and partner institutions; EuroGCT training providers; state workforce agencies,"Annual completions from these programmes reach a level comparable to the sector's annual vacancy count in cell and gene therapy manufacturing roles, published in a sector workforce report; checkable by 2031.","Programme throughput is in the dozens per cohort against vacancies in the thousands; the specialised skills decay without practice, so trainees must be hired immediately; and cleanroom training capacity is itself constrained by the same facility scarcity it aims to relieve.",2026,2033,"Programmes are operating now, but scaling to sector-relevant volume requires facility and instructor capacity that grows slowly and is publicly funded.","The programmes train excellent candidates at a rate one to two orders of magnitude below need, and the sector continues to fill senior roles by six-to-nine-month searches and internal poaching.",T;C,,cell and gene therapy manufacturing; biologics manufacturing,E-8070;E-8071,
T-068,B13,Robotic and automation substitution for scarce technician labour,"Automate the repetitive physical steps in laboratory and manufacturing work so that the same output requires fewer of the technician hours that are hardest to hire, converting a labour constraint into a capital constraint.",6,"Robotic isolators, closed automated cell therapy cassettes and laboratory automation are commercially deployed, but no sector-level evidence exists that automation has relieved the reported staffing shortage; validated in a relevant environment. [E-8027][E-8025][E-8039]","Lonza and Miltenyi (closed cell therapy systems); Cytiva and Syntegon (isolators); Hamilton, Tecan and Opentrons (laboratory automation); Ginkgo Bioworks",A cell therapy manufacturer publishes headcount per batch before and after closed-system automation showing a sustained reduction with maintained batch success rate; checkable by 2029.,"Automation replaces the routine hours and increases demand for the scarcer skill - engineers who can qualify, troubleshoot and change-control the automated system; and validated automated systems are harder to modify, which penalises the frequent process changes that early-stage products require.",2026,2032,"Equipment exists now; realising a net headcount effect requires facility redesign and revalidation, which runs several years per site.","Every automated line needs an automation engineer, and automation engineers are scarcer and more expensive than the technicians they replaced, so total labour cost rises.",T;C,B6,cell and gene therapy manufacturing; laboratory operations,E-8027;E-8025;E-8039,
